orderid,ordedate,cutomerid,store,productid,cost,salesproce,quantity,amountcost,amountsales,profit
A1000735,2020/04/02,A00082,A,182,48,88,4,192,352,160
A1000735,2020/04/02,A00082,A,244,44,90,6,264,540,276
A1000735,2020/04/02,A00082,A,274,240,380,2,480,760,280
A1000735,2020/04/02,A00082,A,307,5,12,2,10,24,14
A1000735,2020/04/02,A00082,A,355,140,300,1,140,300,160
A1000735,2020/04/02,A00082,A,433,5,10,1,5,10,5
A1000735,2020/04/02,A00082,A,508,95,165,1,95,165,70
A1000737,2020/05/16,A00085,A,182,48,88,1,48,88,40
A1000737,2020/05/16,A00085,A,274,240,380,1,240,380,140
A1000737,2020/05/16,A00085,A,299,220,350,3,660,1050,390
A1000737,2020/05/16,A00085,A,307,5,12,1,5,12,7
A1000737,2020/05/16,A00085,A,321,44,88,1,44,88,44
A1000737,2020/05/16,A00085,A,355,140,300,4,560,1200,640
A1000737,2020/05/16,A00085,A,400,110,180,1,110,180,70
A1000738,2020/04/11,A00087,A,182,48,88,1,48,88,40
A1000738,2020/04/11,A00087,A,274,240,380,1,240,380,140
A1000738,2020/04/11,A00087,A,299,220,350,5,1100,1750,650
A1000738,2020/04/11,A00087,A,307,5,12,1,5,12,7
A1000738,2020/04/11,A00087,A,321,44,88,1,44,88,44
A1000738,2020/04/11,A00087,A,355,140,300,1,140,300,160
A1000738,2020/04/11,A00087,A,400,110,180,1,110,180,70
A1000740,2020/02/02,A00090,A,182,48,88,1,48,88,40
A1000740,2020/02/02,A00090,A,274,240,380,1,240,380,140
A1000740,2020/02/02,A00090,A,299,220,350,1,220,350,130
A1000740,2020/02/02,A00090,A,307,5,12,1,5,12,7
A1000740,2020/02/02,A00090,A,321,44,88,1,44,88,44
A1000740,2020/02/02,A00090,A,355,140,300,1,140,300,160
A1000740,2020/02/02,A00090,A,400,110,180,1,110,180,70
A1000749,2020/02/02,A00101,A,182,48,88,1,48,88,40
A1000749,2020/02/02,A00101,A,274,240,380,1,240,380,140
A1000749,2020/02/02,A00101,A,299,220,350,1,220,350,130
A1000749,2020/02/02,A00101,A,307,5,12,1,5,12,7
A1000749,2020/02/02,A00101,A,321,44,88,1,44,88,44
A1000749,2020/02/02,A00101,A,355,140,300,1,140,300,160
A1000749,2020/02/02,A00101,A,400,110,180,1,110,180,70
A1000755,2020/07/28,A00108,A,165,12,25,1,12,25,13
A1000755,2020/07/28,A00108,A,257,8,18,1,8,18,10
A1000755,2020/07/28,A00108,A,265,380,500,1,380,500,120
A1000755,2020/07/28,A00108,A,367,38,60,2,76,120,44
A1000755,2020/07/28,A00108,A,501,150,290,1,150,290,140
A1000757,2020/10/24,A00110,A,165,12,25,1,12,25,13
A1000757,2020/10/24,A00110,A,257,8,18,1,8,18,10
A1000757,2020/10/24,A00110,A,265,380,500,1,380,500,120
A1000757,2020/10/24,A00110,A,367,38,60,1,38,60,22
A1000757,2020/10/24,A00110,A,501,150,290,4,600,1160,560
A1000758,2020/11/21,A00111,A,182,48,88,1,48,88,40
A1000758,2020/11/21,A00111,A,274,240,380,1,240,380,140
A1000758,2020/11/21,A00111,A,299,220,350,1,220,350,130
A1000758,2020/11/21,A00111,A,307,5,12,1,5,12,7
A1000758,2020/11/21,A00111,A,321,44,88,6,264,528,264
A1000758,2020/11/21,A00111,A,355,140,300,1,140,300,160
A1000758,2020/11/21,A00111,A,400,110,180,6,660,1080,420
A1000766,2020/01/18,A00120,A,182,48,88,1,48,88,40
A1000766,2020/01/18,A00120,A,274,240,380,1,240,380,140
A1000766,2020/01/18,A00120,A,299,220,350,1,220,350,130
A1000766,2020/01/18,A00120,A,307,5,12,1,5,12,7
A1000766,2020/01/18,A00120,A,321,44,88,1,44,88,44
A1000766,2020/01/18,A00120,A,355,140,300,1,140,300,160
A1000766,2020/01/18,A00120,A,400,110,180,1,110,180,70
A1000767,2020/08/02,A00121,A,182,48,88,1,48,88,40
A1000767,2020/08/02,A00121,A,274,240,380,1,240,380,140
A1000767,2020/08/02,A00121,A,299,220,350,1,220,350,130
A1000767,2020/08/02,A00121,A,307,5,12,1,5,12,7
A1000767,2020/08/02,A00121,A,321,44,88,2,88,176,88
A1000767,2020/08/02,A00121,A,355,140,300,1,140,300,160
A1000767,2020/08/02,A00121,A,400,110,180,1,110,180,70
A1000768,2020/11/08,A00122,A,182,48,88,2,96,176,80
A1000768,2020/11/08,A00122,A,274,240,380,1,240,380,140
A1000768,2020/11/08,A00122,A,299,220,350,1,220,350,130
A1000768,2020/11/08,A00122,A,307,5,12,1,5,12,7
A1000768,2020/11/08,A00122,A,321,44,88,1,44,88,44
A1000768,2020/11/08,A00122,A,355,140,300,1,140,300,160
A1000768,2020/11/08,A00122,A,400,110,180,1,110,180,70
A1000769,2020/04/12,A00123,A,182,48,88,1,48,88,40
A1000769,2020/04/12,A00123,A,274,240,380,1,240,380,140
A1000769,2020/04/12,A00123,A,299,220,350,1,220,350,130
A1000769,2020/04/12,A00123,A,307,5,12,1,5,12,7
A1000769,2020/04/12,A00123,A,321,44,88,1,44,88,44
A1000769,2020/04/12,A00123,A,355,140,300,1,140,300,160
A1000769,2020/04/12,A00123,A,400,110,180,1,110,180,70
A1000770,2020/05/17,A00125,A,182,48,88,5,240,440,200
A1000770,2020/05/17,A00125,A,274,240,380,1,240,380,140
A1000770,2020/05/17,A00125,A,299,220,350,2,440,700,260
A1000770,2020/05/17,A00125,A,307,5,12,1,5,12,7
A1000770,2020/05/17,A00125,A,321,44,88,1,44,88,44
A1000770,2020/05/17,A00125,A,355,140,300,1,140,300,160
A1000770,2020/05/17,A00125,A,400,110,180,1,110,180,70
A1000771,2020/02/26,A00126,A,182,48,88,2,96,176,80
A1000771,2020/02/26,A00126,A,274,240,380,1,240,380,140
A1000771,2020/02/26,A00126,A,299,220,350,1,220,350,130
A1000771,2020/02/26,A00126,A,307,5,12,1,5,12,7
A1000771,2020/02/26,A00126,A,321,44,88,1,44,88,44
A1000771,2020/02/26,A00126,A,355,140,300,1,140,300,160
A1000771,2020/02/26,A00126,A,400,110,180,1,110,180,70
A1000772,2020/04/04,A00127,A,165,12,25,1,12,25,13
A1000772,2020/04/04,A00127,A,257,8,18,1,8,18,10
A1000772,2020/04/04,A00127,A,265,380,500,2,760,1000,240
A1000772,2020/04/04,A00127,A,367,38,60,1,38,60,22
A1000772,2020/04/04,A00127,A,501,150,290,1,150,290,140
A1000781,2020/04/28,A00139,A,182,48,88,1,48,88,40
A1000781,2020/04/28,A00139,A,274,240,380,1,240,380,140
A1000781,2020/04/28,A00139,A,299,220,350,1,220,350,130
A1000781,2020/04/28,A00139,A,307,5,12,1,5,12,7
A1000781,2020/04/28,A00139,A,321,44,88,4,176,352,176
A1000781,2020/04/28,A00139,A,355,140,300,2,280,600,320
A1000781,2020/04/28,A00139,A,400,110,180,1,110,180,70
A1000784,2020/11/06,A00143,A,182,48,88,1,48,88,40
A1000784,2020/11/06,A00143,A,274,240,380,1,240,380,140
A1000784,2020/11/06,A00143,A,299,220,350,3,660,1050,390
A1000784,2020/11/06,A00143,A,307,5,12,1,5,12,7
A1000784,2020/11/06,A00143,A,321,44,88,2,88,176,88
A1000784,2020/11/06,A00143,A,355,140,300,1,140,300,160
A1000784,2020/11/06,A00143,A,400,110,180,1,110,180,70
A1000790,2020/06/16,A00149,A,182,48,88,1,48,88,40
A1000790,2020/06/16,A00149,A,274,240,380,1,240,380,140
A1000790,2020/06/16,A00149,A,299,220,350,1,220,350,130
A1000790,2020/06/16,A00149,A,307,5,12,2,10,24,14
A1000790,2020/06/16,A00149,A,321,44,88,1,44,88,44
A1000790,2020/06/16,A00149,A,355,140,300,1,140,300,160
A1000790,2020/06/16,A00149,A,400,110,180,2,220,360,140
A1000791,2020/06/08,A00150,A,165,12,25,1,12,25,13
A1000791,2020/06/08,A00150,A,257,8,18,1,8,18,10
A1000791,2020/06/08,A00150,A,265,380,500,1,380,500,120
A1000791,2020/06/08,A00150,A,367,38,60,1,38,60,22
A1000791,2020/06/08,A00150,A,501,150,290,4,600,1160,560
A1000796,2020/08/23,A00156,A,182,48,88,1,48,88,40
A1000796,2020/08/23,A00156,A,274,240,380,2,480,760,280
A1000796,2020/08/23,A00156,A,299,220,350,6,1320,2100,780
A1000796,2020/08/23,A00156,A,307,5,12,6,30,72,42
A1000796,2020/08/23,A00156,A,321,44,88,6,264,528,264
A1000796,2020/08/23,A00156,A,355,140,300,1,140,300,160
A1000796,2020/08/23,A00156,A,400,110,180,1,110,180,70
A1000798,2020/09/06,A00158,A,182,48,88,4,192,352,160
A1000798,2020/09/06,A00158,A,274,240,380,1,240,380,140
A1000798,2020/09/06,A00158,A,299,220,350,1,220,350,130
A1000798,2020/09/06,A00158,A,307,5,12,1,5,12,7
A1000798,2020/09/06,A00158,A,321,44,88,2,88,176,88
A1000798,2020/09/06,A00158,A,355,140,300,1,140,300,160
A1000798,2020/09/06,A00158,A,400,110,180,1,110,180,70
A1000799,2020/03/15,A00159,A,182,48,88,1,48,88,40
A1000799,2020/03/15,A00159,A,274,240,380,1,240,380,140
A1000799,2020/03/15,A00159,A,299,220,350,1,220,350,130
A1000799,2020/03/15,A00159,A,307,5,12,1,5,12,7
A1000799,2020/03/15,A00159,A,321,44,88,1,44,88,44
A1000799,2020/03/15,A00159,A,355,140,300,7,980,2100,1120
A1000799,2020/03/15,A00159,A,400,110,180,1,110,180,70
A1000800,2020/04/21,A00160,A,182,48,88,1,48,88,40
A1000800,2020/04/21,A00160,A,274,240,380,1,240,380,140
A1000800,2020/04/21,A00160,A,299,220,350,1,220,350,130
A1000800,2020/04/21,A00160,A,307,5,12,1,5,12,7
A1000800,2020/04/21,A00160,A,321,44,88,1,44,88,44
A1000800,2020/04/21,A00160,A,355,140,300,1,140,300,160
A1000800,2020/04/21,A00160,A,400,110,180,1,110,180,70
A1000804,2020/09/25,A00166,A,182,48,88,1,48,88,40
A1000804,2020/09/25,A00166,A,274,240,380,1,240,380,140
A1000804,2020/09/25,A00166,A,299,220,350,1,220,350,130
A1000804,2020/09/25,A00166,A,307,5,12,1,5,12,7
A1000804,2020/09/25,A00166,A,321,44,88,1,44,88,44
A1000804,2020/09/25,A00166,A,355,140,300,1,140,300,160
A1000804,2020/09/25,A00166,A,400,110,180,5,550,900,350
A1000806,2020/01/19,A00170,A,182,48,88,1,48,88,40
A1000806,2020/01/19,A00170,A,274,240,380,1,240,380,140
A1000806,2020/01/19,A00170,A,299,220,350,1,220,350,130
A1000806,2020/01/19,A00170,A,307,5,12,2,10,24,14
A1000806,2020/01/19,A00170,A,321,44,88,1,44,88,44
A1000806,2020/01/19,A00170,A,355,140,300,1,140,300,160
A1000806,2020/01/19,A00170,A,400,110,180,1,110,180,70
A1000810,2020/10/15,A00174,A,182,48,88,1,48,88,40
A1000810,2020/10/15,A00174,A,274,240,380,1,240,380,140
A1000810,2020/10/15,A00174,A,299,220,350,1,220,350,130
A1000810,2020/10/15,A00174,A,307,5,12,2,10,24,14
A1000810,2020/10/15,A00174,A,321,44,88,1,44,88,44
A1000810,2020/10/15,A00174,A,355,140,300,1,140,300,160
A1000810,2020/10/15,A00174,A,400,110,180,1,110,180,70
A1000811,2020/03/23,A00175,A,165,12,25,1,12,25,13
A1000811,2020/03/23,A00175,A,257,8,18,1,8,18,10
A1000811,2020/03/23,A00175,A,265,380,500,1,380,500,120
A1000811,2020/03/23,A00175,A,367,38,60,1,38,60,22
A1000811,2020/03/23,A00175,A,501,150,290,1,150,290,140
A1000812,2020/02/13,A00176,A,182,48,88,1,48,88,40
A1000812,2020/02/13,A00176,A,274,240,380,1,240,380,140
A1000812,2020/02/13,A00176,A,299,220,350,1,220,350,130
A1000812,2020/02/13,A00176,A,307,5,12,1,5,12,7
A1000812,2020/02/13,A00176,A,321,44,88,1,44,88,44
A1000812,2020/02/13,A00176,A,355,140,300,1,140,300,160
A1000812,2020/02/13,A00176,A,400,110,180,1,110,180,70
A1000814,2020/05/26,A00179,A,182,48,88,1,48,88,40
A1000814,2020/05/26,A00179,A,274,240,380,1,240,380,140
A1000814,2020/05/26,A00179,A,299,220,350,1,220,350,130
A1000814,2020/05/26,A00179,A,307,5,12,1,5,12,7
A1000814,2020/05/26,A00179,A,321,44,88,1,44,88,44
A1000814,2020/05/26,A00179,A,355,140,300,1,140,300,160
A1000814,2020/05/26,A00179,A,400,110,180,1,110,180,70
A1000815,2020/07/17,A00180,A,182,48,88,1,48,88,40
A1000815,2020/07/17,A00180,A,274,240,380,2,480,760,280
A1000815,2020/07/17,A00180,A,299,220,350,1,220,350,130
A1000815,2020/07/17,A00180,A,307,5,12,2,10,24,14
A1000815,2020/07/17,A00180,A,321,44,88,1,44,88,44
A1000815,2020/07/17,A00180,A,355,140,300,1,140,300,160
A1000815,2020/07/17,A00180,A,400,110,180,1,110,180,70
A1000819,2020/03/27,A00184,A,165,12,25,1,12,25,13
A1000819,2020/03/27,A00184,A,257,8,18,5,40,90,50
A1000819,2020/03/27,A00184,A,265,380,500,1,380,500,120
A1000819,2020/03/27,A00184,A,367,38,60,1,38,60,22
A1000819,2020/03/27,A00184,A,501,150,290,1,150,290,140
A1000823,2020/12/27,A00188,A,182,48,88,3,144,264,120
A1000823,2020/12/27,A00188,A,274,240,380,1,240,380,140
A1000823,2020/12/27,A00188,A,299,220,350,2,440,700,260
A1000823,2020/12/27,A00188,A,307,5,12,1,5,12,7
A1000823,2020/12/27,A00188,A,321,44,88,1,44,88,44
A1000823,2020/12/27,A00188,A,355,140,300,1,140,300,160
A1000823,2020/12/27,A00188,A,400,110,180,1,110,180,70
A1000825,2020/05/26,A00191,A,182,48,88,1,48,88,40
A1000825,2020/05/26,A00191,A,274,240,380,1,240,380,140
A1000825,2020/05/26,A00191,A,299,220,350,1,220,350,130
A1000825,2020/05/26,A00191,A,307,5,12,3,15,36,21
A1000825,2020/05/26,A00191,A,321,44,88,1,44,88,44
A1000825,2020/05/26,A00191,A,355,140,300,1,140,300,160
A1000825,2020/05/26,A00191,A,400,110,180,1,110,180,70
A1000830,2020/10/26,A00196,A,182,48,88,1,48,88,40
A1000830,2020/10/26,A00196,A,274,240,380,2,480,760,280
A1000830,2020/10/26,A00196,A,299,220,350,2,440,700,260
A1000830,2020/10/26,A00196,A,307,5,12,1,5,12,7
A1000830,2020/10/26,A00196,A,321,44,88,1,44,88,44
A1000830,2020/10/26,A00196,A,355,140,300,1,140,300,160
A1000830,2020/10/26,A00196,A,400,110,180,1,110,180,70
A1000833,2020/06/07,A00199,A,182,48,88,1,48,88,40
A1000833,2020/06/07,A00199,A,274,240,380,3,720,1140,420
A1000833,2020/06/07,A00199,A,299,220,350,1,220,350,130
A1000833,2020/06/07,A00199,A,307,5,12,1,5,12,7
A1000833,2020/06/07,A00199,A,321,44,88,1,44,88,44
A1000833,2020/06/07,A00199,A,355,140,300,1,140,300,160
A1000833,2020/06/07,A00199,A,400,110,180,1,110,180,70
A1000835,2020/01/21,A00201,A,182,48,88,1,48,88,40
A1000835,2020/01/21,A00201,A,274,240,380,1,240,380,140
A1000835,2020/01/21,A00201,A,299,220,350,1,220,350,130
A1000835,2020/01/21,A00201,A,307,5,12,1,5,12,7
A1000835,2020/01/21,A00201,A,321,44,88,5,220,440,220
A1000835,2020/01/21,A00201,A,355,140,300,1,140,300,160
A1000835,2020/01/21,A00201,A,400,110,180,1,110,180,70
A1000838,2020/01/21,A00204,A,174,50,90,1,50,90,40
A1000838,2020/01/21,A00204,A,182,48,88,1,48,88,40
A1000838,2020/01/21,A00204,A,244,44,90,1,44,90,46
A1000838,2020/01/21,A00204,A,274,240,380,1,240,380,140
A1000838,2020/01/21,A00204,A,307,5,12,1,5,12,7
A1000838,2020/01/21,A00204,A,355,140,300,1,140,300,160
A1000838,2020/01/21,A00204,A,433,5,10,1,5,10,5
A1000838,2020/01/21,A00204,A,508,95,165,1,95,165,70
A1000840,2020/01/12,A00206,A,182,48,88,1,48,88,40
A1000840,2020/01/12,A00206,A,274,240,380,1,240,380,140
A1000840,2020/01/12,A00206,A,299,220,350,1,220,350,130
A1000840,2020/01/12,A00206,A,307,5,12,1,5,12,7
A1000840,2020/01/12,A00206,A,321,44,88,1,44,88,44
A1000840,2020/01/12,A00206,A,355,140,300,5,700,1500,800
A1000840,2020/01/12,A00206,A,400,110,180,1,110,180,70
A1000843,2020/02/14,A00211,A,182,48,88,1,48,88,40
A1000843,2020/02/14,A00211,A,274,240,380,2,480,760,280
A1000843,2020/02/14,A00211,A,299,220,350,1,220,350,130
A1000843,2020/02/14,A00211,A,307,5,12,1,5,12,7
A1000843,2020/02/14,A00211,A,321,44,88,1,44,88,44
A1000843,2020/02/14,A00211,A,355,140,300,1,140,300,160
A1000843,2020/02/14,A00211,A,400,110,180,1,110,180,70
A1000844,2020/01/05,A00212,A,182,48,88,1,48,88,40
A1000844,2020/01/05,A00212,A,274,240,380,1,240,380,140
A1000844,2020/01/05,A00212,A,299,220,350,1,220,350,130
A1000844,2020/01/05,A00212,A,307,5,12,1,5,12,7
A1000844,2020/01/05,A00212,A,321,44,88,1,44,88,44
A1000844,2020/01/05,A00212,A,355,140,300,1,140,300,160
A1000844,2020/01/05,A00212,A,400,110,180,1,110,180,70
A1000846,2020/06/11,A00215,A,182,48,88,1,48,88,40
A1000846,2020/06/11,A00215,A,274,240,380,1,240,380,140
A1000846,2020/06/11,A00215,A,299,220,350,2,440,700,260
A1000846,2020/06/11,A00215,A,307,5,12,1,5,12,7
A1000846,2020/06/11,A00215,A,321,44,88,1,44,88,44
A1000846,2020/06/11,A00215,A,355,140,300,1,140,300,160
A1000846,2020/06/11,A00215,A,400,110,180,1,110,180,70
A1000850,2020/07/08,A00219,A,165,12,25,1,12,25,13
A1000850,2020/07/08,A00219,A,257,8,18,1,8,18,10
A1000850,2020/07/08,A00219,A,265,380,500,1,380,500,120
A1000850,2020/07/08,A00219,A,367,38,60,1,38,60,22
A1000850,2020/07/08,A00219,A,501,150,290,1,150,290,140
A1000854,2020/07/17,A00223,A,165,12,25,1,12,25,13
A1000854,2020/07/17,A00223,A,257,8,18,1,8,18,10
A1000854,2020/07/17,A00223,A,265,380,500,1,380,500,120
A1000854,2020/07/17,A00223,A,367,38,60,1,38,60,22
A1000854,2020/07/17,A00223,A,501,150,290,2,300,580,280
A1000856,2020/11/16,A00225,A,182,48,88,2,96,176,80
A1000856,2020/11/16,A00225,A,274,240,380,1,240,380,140
A1000856,2020/11/16,A00225,A,299,220,350,1,220,350,130
A1000856,2020/11/16,A00225,A,307,5,12,1,5,12,7
A1000856,2020/11/16,A00225,A,321,44,88,1,44,88,44
A1000856,2020/11/16,A00225,A,355,140,300,2,280,600,320
A1000856,2020/11/16,A00225,A,400,110,180,4,440,720,280
A1000857,2020/07/04,A00226,A,174,50,90,1,50,90,40
A1000857,2020/07/04,A00226,A,182,48,88,1,48,88,40
A1000857,2020/07/04,A00226,A,244,44,90,2,88,180,92
A1000857,2020/07/04,A00226,A,274,240,380,1,240,380,140
A1000857,2020/07/04,A00226,A,307,5,12,1,5,12,7
A1000857,2020/07/04,A00226,A,355,140,300,1,140,300,160
A1000857,2020/07/04,A00226,A,433,5,10,2,10,20,10
A1000857,2020/07/04,A00226,A,508,95,165,1,95,165,70
A1000858,2020/05/08,A00228,A,174,50,90,1,50,90,40
A1000858,2020/05/08,A00228,A,182,48,88,1,48,88,40
A1000858,2020/05/08,A00228,A,244,44,90,1,44,90,46
A1000858,2020/05/08,A00228,A,274,240,380,1,240,380,140
A1000858,2020/05/08,A00228,A,307,5,12,1,5,12,7
A1000858,2020/05/08,A00228,A,355,140,300,1,140,300,160
A1000858,2020/05/08,A00228,A,433,5,10,1,5,10,5
A1000858,2020/05/08,A00228,A,508,95,165,1,95,165,70
A1000859,2020/01/26,A00229,A,165,12,25,7,84,175,91
A1000859,2020/01/26,A00229,A,257,8,18,1,8,18,10
A1000859,2020/01/26,A00229,A,265,380,500,1,380,500,120
A1000859,2020/01/26,A00229,A,367,38,60,1,38,60,22
A1000859,2020/01/26,A00229,A,501,150,290,1,150,290,140
A1000860,2020/04/08,A00230,A,182,48,88,1,48,88,40
A1000860,2020/04/08,A00230,A,274,240,380,1,240,380,140
A1000860,2020/04/08,A00230,A,299,220,350,1,220,350,130
A1000860,2020/04/08,A00230,A,307,5,12,1,5,12,7
A1000860,2020/04/08,A00230,A,321,44,88,1,44,88,44
A1000860,2020/04/08,A00230,A,355,140,300,1,140,300,160
A1000860,2020/04/08,A00230,A,400,110,180,1,110,180,70
A1000862,2020/10/07,A00232,A,182,48,88,1,48,88,40
A1000862,2020/10/07,A00232,A,274,240,380,1,240,380,140
A1000862,2020/10/07,A00232,A,299,220,350,1,220,350,130
A1000862,2020/10/07,A00232,A,307,5,12,1,5,12,7
A1000862,2020/10/07,A00232,A,321,44,88,1,44,88,44
A1000862,2020/10/07,A00232,A,355,140,300,1,140,300,160
A1000862,2020/10/07,A00232,A,400,110,180,1,110,180,70
A1000867,2020/12/02,A00237,A,182,48,88,1,48,88,40
A1000867,2020/12/02,A00237,A,274,240,380,1,240,380,140
A1000867,2020/12/02,A00237,A,299,220,350,1,220,350,130
A1000867,2020/12/02,A00237,A,307,5,12,1,5,12,7
A1000867,2020/12/02,A00237,A,321,44,88,1,44,88,44
A1000867,2020/12/02,A00237,A,355,140,300,1,140,300,160
A1000867,2020/12/02,A00237,A,400,110,180,2,220,360,140
A1000872,2020/02/28,A00243,A,182,48,88,1,48,88,40
A1000872,2020/02/28,A00243,A,274,240,380,1,240,380,140
A1000872,2020/02/28,A00243,A,299,220,350,1,220,350,130
A1000872,2020/02/28,A00243,A,307,5,12,1,5,12,7
A1000872,2020/02/28,A00243,A,321,44,88,1,44,88,44
A1000872,2020/02/28,A00243,A,355,140,300,1,140,300,160
A1000872,2020/02/28,A00243,A,400,110,180,1,110,180,70
A1000882,2020/12/10,A00253,A,182,48,88,1,48,88,40
A1000882,2020/12/10,A00253,A,274,240,380,2,480,760,280
A1000882,2020/12/10,A00253,A,299,220,350,1,220,350,130
A1000882,2020/12/10,A00253,A,307,5,12,1,5,12,7
A1000882,2020/12/10,A00253,A,321,44,88,1,44,88,44
A1000882,2020/12/10,A00253,A,355,140,300,2,280,600,320
A1000882,2020/12/10,A00253,A,400,110,180,1,110,180,70
A1000887,2020/06/13,A00259,A,182,48,88,1,48,88,40
A1000887,2020/06/13,A00259,A,274,240,380,1,240,380,140
A1000887,2020/06/13,A00259,A,299,220,350,4,880,1400,520
A1000887,2020/06/13,A00259,A,307,5,12,2,10,24,14
A1000887,2020/06/13,A00259,A,321,44,88,1,44,88,44
A1000887,2020/06/13,A00259,A,355,140,300,6,840,1800,960
A1000887,2020/06/13,A00259,A,400,110,180,1,110,180,70
A1000891,2020/10/16,A00263,A,174,50,90,1,50,90,40
A1000891,2020/10/16,A00263,A,182,48,88,1,48,88,40
A1000891,2020/10/16,A00263,A,244,44,90,1,44,90,46
A1000891,2020/10/16,A00263,A,274,240,380,5,1200,1900,700
A1000891,2020/10/16,A00263,A,307,5,12,1,5,12,7
A1000891,2020/10/16,A00263,A,355,140,300,1,140,300,160
A1000891,2020/10/16,A00263,A,433,5,10,1,5,10,5
A1000891,2020/10/16,A00263,A,508,95,165,1,95,165,70
A1000892,2020/08/02,A00264,A,165,12,25,1,12,25,13
A1000892,2020/08/02,A00264,A,257,8,18,1,8,18,10
A1000892,2020/08/02,A00264,A,265,380,500,1,380,500,120
A1000892,2020/08/02,A00264,A,367,38,60,1,38,60,22
A1000892,2020/08/02,A00264,A,501,150,290,1,150,290,140
A1000893,2020/09/06,A00265,A,165,12,25,1,12,25,13
A1000893,2020/09/06,A00265,A,257,8,18,1,8,18,10
A1000893,2020/09/06,A00265,A,265,380,500,1,380,500,120
A1000893,2020/09/06,A00265,A,367,38,60,1,38,60,22
A1000893,2020/09/06,A00265,A,501,150,290,1,150,290,140
A1000894,2020/11/11,A00266,A,165,12,25,7,84,175,91
A1000894,2020/11/11,A00266,A,257,8,18,1,8,18,10
A1000894,2020/11/11,A00266,A,265,380,500,1,380,500,120
A1000894,2020/11/11,A00266,A,367,38,60,1,38,60,22
A1000894,2020/11/11,A00266,A,501,150,290,1,150,290,140
A1000898,2020/02/28,A00270,A,182,48,88,1,48,88,40
A1000898,2020/02/28,A00270,A,274,240,380,4,960,1520,560
A1000898,2020/02/28,A00270,A,299,220,350,1,220,350,130
A1000898,2020/02/28,A00270,A,307,5,12,1,5,12,7
A1000898,2020/02/28,A00270,A,321,44,88,2,88,176,88
A1000898,2020/02/28,A00270,A,355,140,300,1,140,300,160
A1000898,2020/02/28,A00270,A,400,110,180,1,110,180,70
A1000899,2020/09/10,A00271,A,182,48,88,6,288,528,240
A1000899,2020/09/10,A00271,A,274,240,380,1,240,380,140
A1000899,2020/09/10,A00271,A,299,220,350,1,220,350,130
A1000899,2020/09/10,A00271,A,307,5,12,1,5,12,7
A1000899,2020/09/10,A00271,A,321,44,88,1,44,88,44
A1000899,2020/09/10,A00271,A,355,140,300,1,140,300,160
A1000899,2020/09/10,A00271,A,400,110,180,1,110,180,70
A1000904,2020/03/14,A00276,A,165,12,25,1,12,25,13
A1000904,2020/03/14,A00276,A,257,8,18,1,8,18,10
A1000904,2020/03/14,A00276,A,265,380,500,1,380,500,120
A1000904,2020/03/14,A00276,A,367,38,60,1,38,60,22
A1000904,2020/03/14,A00276,A,501,150,290,1,150,290,140
A1000907,2020/02/22,A00279,A,165,12,25,1,12,25,13
A1000907,2020/02/22,A00279,A,257,8,18,1,8,18,10
A1000907,2020/02/22,A00279,A,265,380,500,2,760,1000,240
A1000907,2020/02/22,A00279,A,367,38,60,1,38,60,22
A1000907,2020/02/22,A00279,A,501,150,290,4,600,1160,560
B1000001,2020/03/25,A00003,B,219,400,550,1,400,550,150
B1000001,2020/03/25,A00003,B,229,46,86,1,46,86,40
B1000001,2020/03/25,A00003,B,359,90,150,1,90,150,60
B1000001,2020/03/25,A00003,B,383,40,65,1,40,65,25
B1000001,2020/03/25,A00003,B,390,100,170,1,100,170,70
B1000001,2020/03/25,A00003,B,407,95,165,5,475,825,350
B1000001,2020/03/25,A00003,B,444,100,170,4,400,680,280
B1000002,2020/05/14,A00005,B,219,400,550,1,400,550,150
B1000002,2020/05/14,A00005,B,229,46,86,1,46,86,40
B1000002,2020/05/14,A00005,B,359,90,150,5,450,750,300
B1000002,2020/05/14,A00005,B,383,40,65,1,40,65,25
B1000002,2020/05/14,A00005,B,390,100,170,1,100,170,70
B1000002,2020/05/14,A00005,B,407,95,165,1,95,165,70
B1000002,2020/05/14,A00005,B,444,100,170,1,100,170,70
B1000003,2020/02/11,A00009,B,219,400,550,1,400,550,150
B1000003,2020/02/11,A00009,B,229,46,86,1,46,86,40
B1000003,2020/02/11,A00009,B,350,130,300,1,130,300,170
B1000003,2020/02/11,A00009,B,359,90,150,1,90,150,60
B1000003,2020/02/11,A00009,B,383,40,65,1,40,65,25
B1000003,2020/02/11,A00009,B,390,100,170,1,100,170,70
B1000003,2020/02/11,A00009,B,407,95,165,1,95,165,70
B1000003,2020/02/11,A00009,B,444,100,170,1,100,170,70
B1000004,2020/06/13,A00011,B,219,400,550,1,400,550,150
B1000004,2020/06/13,A00011,B,229,46,86,1,46,86,40
B1000004,2020/06/13,A00011,B,350,130,300,1,130,300,170
B1000004,2020/06/13,A00011,B,359,90,150,1,90,150,60
B1000004,2020/06/13,A00011,B,383,40,65,1,40,65,25
B1000004,2020/06/13,A00011,B,390,100,170,1,100,170,70
B1000004,2020/06/13,A00011,B,407,95,165,1,95,165,70
B1000004,2020/06/13,A00011,B,444,100,170,1,100,170,70
B1000005,2020/05/26,A00016,B,219,400,550,1,400,550,150
B1000005,2020/05/26,A00016,B,229,46,86,5,230,430,200
